# task3_csv_schema=1
mode,frame_id,target_q15,truth_class,predicted_class,confidence_q15,inference_us,transport_retries,rtos_status,pwm,actuator_q15,rtos_processing_us,round_trip_us,error_code,duplicate,recovered
FIXED,332,-15594,1,1,32767,738,0,0,0,0,43,607,0,0,0
FIXED,333,-14815,1,1,32767,885,0,0,0,0,41,536,0,0,0
FIXED,334,-13996,1,1,32767,621,0,0,0,0,75,599,0,0,0
FIXED,335,-13156,1,1,32767,630,0,0,0,0,83,1121,0,0,0
FIXED,336,-12315,1,1,32767,623,0,0,0,0,97,804,0,0,0
FIXED,337,-11491,1,1,29787,623,0,0,0,0,68,532,0,0,0
FIXED,338,-10700,1,1,30624,886,0,0,0,0,72,765,0,0,0
FIXED,339,-9959,1,1,32767,640,0,0,0,0,4,593,0,0,0
FIXED,340,-9279,1,1,32767,892,0,0,0,0,2,473,0,0,0
FIXED,341,-8670,1,1,28840,642,0,0,0,0,73,540,0,0,0
FIXED,342,-8139,1,1,20786,995,0,0,0,0,9,930,0,0,0
FIXED,343,-7690,1,1,22473,889,0,0,0,0,34,505,0,0,0
FIXED,344,-7323,1,1,17123,526,0,0,0,0,81,987,0,0,0
FIXED,345,-7035,1,1,11102,526,0,0,0,0,150,1292,0,0,0
FIXED,346,-6821,1,1,11365,524,0,0,0,0,11,986,0,0,0
FIXED,347,-6672,1,1,5368,627,0,0,0,0,6,697,0,0,0
FIXED,348,-6577,1,1,3934,810,0,0,0,0,79,1022,0,0,0
FIXED,349,-6522,1,1,3683,792,0,0,0,0,10,855,0,0,0
FIXED,350,-6492,1,1,3602,524,0,0,0,0,80,921,0,0,0
FIXED,351,-6471,1,1,4907,529,0,0,0,0,147,1145,0,0,0
FIXED,352,-6440,1,1,4076,526,0,0,0,0,101,1076,0,0,0
FIXED,353,-6383,1,1,1458,527,0,0,0,0,11,1113,0,0,0
FIXED,354,-6283,1,1,4363,523,0,0,0,0,79,964,0,0,0
FIXED,355,-6122,1,2,1568,523,0,0,0,0,9,753,0,0,0
FIXED,356,-5886,2,2,3651,519,0,0,0,0,9,887,0,0,0
